time,phoneme,vocalic,consonantal,nasal,back,pause
0.0,P,0.08502114,0.7996951,0.4559405,0.19697349,0.45753983
0.01,P,0.039788116,0.87540466,0.3589515,0.09992801,0.3619185
0.02,P,0.027026469,0.9136504,0.283963,0.06926082,0.23743092
0.03,K,0.036592785,0.91752166,0.21066354,0.078217894,0.109139524
0.04,K,0.13425246,0.8648971,0.10046487,0.1701479,0.036969222
0.05,K,0.42115504,0.62522,0.034369163,0.3020425,0.015277188
0.06,AA,0.65253353,0.31428134,0.013614565,0.38175538,0.0065910053
0.07,AA,0.75920767,0.13556801,0.003651026,0.28595763,0.0031914741
0.08,AA,0.84789675,0.08170044,0.0013297228,0.20961846,0.0020837698
0.09,AA,0.9187098,0.05689543,0.00060702674,0.14793871,0.0020874594
0.1,AE,0.95463467,0.041775685,0.00035233714,0.09537716,0.0028303433
0.11,AE,0.9696391,0.033702727,0.0002934892,0.06885086,0.003886802
0.12,AE,0.9749103,0.027390454,0.00028125,0.039254006,0.004161817
0.13,AE,0.9735735,0.0317754,0.00024391097,0.027536921,0.004968231
0.14,AE,0.9742367,0.039311167,0.00022371094,0.02208522,0.0051893657
0.15,AE,0.9696592,0.05252144,0.00020434766,0.019701604,0.0047604432
0.16,AE,0.96315545,0.0655381,0.0002192135,0.019836484,0.005809303
0.17,AE,0.94587755,0.08800999,0.00037526575,0.020693315,0.009800668
0.18,AE,0.87966764,0.18181284,0.0011624952,0.02807657,0.025770947
0.19,AE,0.5730576,0.51995814,0.0046214196,0.033594392,0.070633404
0.2,AE,0.17550212,0.8074895,0.006505219,0.018839376,0.09582102
0.21,T,0.040868644,0.9259598,0.004779276,0.00934759,0.15324867
0.22,T,0.016801732,0.95096654,0.0043367427,0.008559702,0.24190395
0.23,T,0.0135207595,0.9412669,0.0039739073,0.010935636,0.37337518
0.24,T,0.019864278,0.92613864,0.004307299,0.018632524,0.45111862
0.25,T,0.033952862,0.9142547,0.00390266,0.028716452,0.41680402
0.26,T,0.043309044,0.9064929,0.0023495236,0.032668583,0.35274333
0.27,T,0.03463295,0.89456767,0.00059663184,0.031795412,0.33188453
0.28,T,0.063379236,0.75817627,0.00013087272,0.05888737,0.31371546
0.29,AY,0.13556404,0.56487507,4.9977025e-05,0.09741953,0.2778037
0.3,AY,0.2291517,0.3380501,4.0644314e-05,0.10115952,0.21533702
0.31,AY,0.40783098,0.21675794,3.925437e-05,0.10853653,0.17417216
0.32,AY,0.61284846,0.14505762,3.9702565e-05,0.11001433,0.12414788
0.33,AY,0.75085384,0.10195626,4.107609e-05,0.12447119,0.09642036
0.34,AY,0.8212586,0.078298226,4.4065684e-05,0.1118519,0.07423807
