time,phoneme,vocalic,strident,nasal,back,stop,pause
0.28,k,0.26054168,0.24993104,0.6139835,0.45223993,0.7981035,0.44723618
0.29,k,0.16197217,0.30434957,0.3007079,0.28485006,0.86948925,0.48426485
0.3,k,0.0975584,0.41719753,0.123380445,0.15665707,0.88864744,0.5444214
0.31,k,0.08069301,0.43657348,0.07448361,0.12700209,0.8939594,0.5303004
0.32,k,0.1262398,0.38528177,0.11741214,0.20864566,0.9002729,0.42783597
0.33,k,0.19033639,0.4051692,0.15348,0.30797642,0.89760387,0.35262433
0.34,k,0.1932536,0.5748623,0.15670678,0.29915535,0.8707491,0.457403
0.35000000000000003,k,0.16002029,0.7792793,0.11568986,0.22217539,0.8626313,0.56303656
0.36,k,0.08203457,0.8550619,0.08933001,0.10147712,0.8811064,0.6220961
0.37,tS,0.042925082,0.89389986,0.038185854,0.058375042,0.87754923,0.5952356
0.38,tS,0.032887906,0.88831204,0.018356932,0.047871724,0.84532756,0.5822877
0.39,tS,0.056271177,0.854564,0.022476954,0.08396506,0.8024361,0.6028578
0.4,f,0.09799418,0.95478076,0.23974791,0.17204085,0.2609578,0.45180047
0.41000000000000003,f,0.028450754,0.97660965,0.015980778,0.054631658,0.25376534,0.35012794
0.42,f,0.03744169,0.97702014,0.0043889615,0.04689293,0.2051833,0.19491947
0.43,f,0.18938684,0.9632535,0.006384406,0.07591617,0.22434548,0.10190084
0.44,w,0.61560935,0.8775029,0.009425639,0.19109781,0.20613545,0.04031726
0.45,w,0.9458675,0.32222506,0.006152616,0.20025098,0.055759177,0.0015119907
0.46,e,0.9913887,0.0228625,0.006293265,0.13185565,0.007895486,0.00012142326
0.47000000000000003,e,0.9936386,0.054941483,0.013395787,0.11226881,0.0046431157,9.528199e-05
0.48,e,0.9675758,0.4080241,0.07905747,0.086832196,0.010415079,0.0010839084
0.49,s,0.6831367,0.8696448,0.1398255,0.024164403,0.016906042,0.0075709936
0.5,s,0.22584686,0.97380435,0.1043333,0.014148189,0.03250518,0.016152296
0.51,s,0.056615688,0.9923907,0.04193086,0.01008273,0.05605768,0.018510837
