time,phoneme,target_plosives,non_target_plosives,target_vowels,vocalic
0.0,b,0.73738307,0.81119126,0.11298713,0.16287515
0.01,b,0.7714016,0.87293416,0.07938324,0.08785852
0.02,b,0.71547997,0.8850995,0.15764926,0.093738675
0.03,b,0.5274601,0.8579279,0.62839067,0.21529151
0.04,b,0.20870864,0.7291445,0.91135883,0.6314218
0.05,a,0.042511664,0.22276223,0.9849358,0.9512317
0.06,a,0.021235928,0.1183868,0.99085116,0.97753775
0.07,a,0.03712622,0.08771135,0.9914747,0.9758308
0.08,a,0.21518837,0.047289226,0.9857144,0.9464205
0.09,a,0.7135659,0.028305955,0.97460675,0.890508
0.1,t,0.86636007,0.025508756,0.9508413,0.82178086
0.11,t,0.93298656,0.026382562,0.92341346,0.7154287
0.12,t,0.96654725,0.026437912,0.8857107,0.55633676
0.13,t,0.9850058,0.034732662,0.75956625,0.3416124
0.14,t,0.995946,0.057833925,0.31026122,0.08298587
0.15,t,0.998286,0.0646944,0.07276232,0.012123225
0.16,t,0.9976993,0.07279789,0.04729363,0.011048309
0.17,t,0.9920063,0.07592052,0.24691157,0.057722367
0.18,t,0.9739945,0.06620311,0.8267022,0.32818863
0.19,a,0.84812903,0.038094807,0.9806222,0.81012446
0.2,a,0.33091137,0.019878875,0.99458593,0.9658985
0.21,a,0.07936166,0.018510725,0.99506783,0.9833975
0.22,a,0.019647516,0.031969793,0.99294925,0.9871081
0.23,a,0.005758155,0.05683598,0.9875319,0.98489565
0.24,a,0.006784255,0.062306125,0.9624994,0.96717983
0.25,a,0.01820792,0.04469625,0.9165308,0.9226677
0.26,a,0.16423076,0.028315453,0.879735,0.84357494
0.27,a,0.6833294,0.024863258,0.8417456,0.66579306
0.28,a,0.8726917,0.02210302,0.8372229,0.5735944
0.29,k,0.9442878,0.024870092,0.7735208,0.48718926
0.3,k,0.97004926,0.028496807,0.6765143,0.36522582
0.31,k,0.9812649,0.033544954,0.5347277,0.23350827
0.32,k,0.99198353,0.047977746,0.30472463,0.10523608
0.33,t,0.99697405,0.06006013,0.120079234,0.029702643
0.34,t,0.99835193,0.058967706,0.113512166,0.01609498
0.35000000000000003,t,0.9960597,0.068529226,0.16708206,0.031996056
0.36,k,0.96486354,0.07792046,0.52414536,0.25544122
0.37,k,0.6741464,0.07035584,0.9032832,0.76238525
0.38,a,0.20755184,0.04870705,0.96375525,0.9253343
0.39,a,0.05998383,0.073892616,0.94619703,0.92778903
0.4,a,0.16607402,0.3578195,0.9724013,0.9086123
0.41000000000000003,a,0.03736527,0.23117381,0.98919874,0.9655116
0.42,a,0.019303598,0.17161371,0.99331546,0.9771105
0.43,a,0.021682302,0.18748298,0.99249995,0.97272146
0.44,a,0.028296135,0.2730138,0.9845925,0.9536838
0.45,a,0.02205866,0.42130634,0.9707429,0.9127125
0.46,a,0.0122771785,0.46754402,0.963111,0.8989827
0.47000000000000003,a,0.006315781,0.3129117,0.974412,0.9424233
0.48,a,0.0037475189,0.119689666,0.9879412,0.97687805
0.49,a,0.0022959714,0.055376902,0.99087536,0.9890751
0.5,a,0.0028742698,0.05345938,0.988605,0.98902005
0.51,a,0.073026225,0.088635616,0.98395866,0.96566474
0.52,a,0.4111672,0.11275061,0.97587186,0.92910784
0.53,p,0.55899423,0.100284494,0.9689289,0.9227673
0.54,p,0.62008774,0.097363114,0.9643518,0.92008114
0.55,p,0.65655977,0.080826916,0.9619508,0.9139422
0.56,p,0.6837982,0.067147985,0.9579717,0.9006613
0.5700000000000001,p,0.7141253,0.06186634,0.95077586,0.88173825
0.58,p,0.75937176,0.060966227,0.9325491,0.83982825
0.59,p,0.82057774,0.06371394,0.8837459,0.7385391
0.6,p,0.88039994,0.08761546,0.8422426,0.6064885
0.61,p,0.9338957,0.12648693,0.7646336,0.40574837
0.62,p,0.9748239,0.21489334,0.60624206,0.17264792
0.63,p,0.99053824,0.33439216,0.24662748,0.045852043
0.64,p,0.9950603,0.46880025,0.08410256,0.028028414
0.65,p,0.9936046,0.4393564,0.12009155,0.05065668
0.66,p,0.9900884,0.3678376,0.5337949,0.14989021
0.67,p,0.9811948,0.2749258,0.8023521,0.4076308
0.68,p,0.85247725,0.122096404,0.9633815,0.89128464
0.6900000000000001,a,0.27326423,0.06558656,0.9749867,0.9767393
0.7000000000000001,a,0.07277128,0.051866155,0.9793583,0.97911394
0.71,a,0.060785327,0.05778563,0.9837614,0.96543944
0.72,a,0.21897638,0.04196195,0.9786121,0.900558
0.73,r,0.7447395,0.043070275,0.9541311,0.8006583
0.74,r,0.9206763,0.04105835,0.880136,0.6331906
0.75,r,0.96237206,0.03902436,0.7606304,0.45385164
0.76,t,0.9750736,0.039509185,0.65199405,0.31151605
0.77,t,0.98755234,0.05341846,0.4318396,0.16609406
0.78,t,0.9948205,0.06644107,0.12837069,0.043749034
0.79,t,0.99337316,0.08649592,0.06074048,0.04420709
0.8,t,0.91579026,0.31882653,0.55748457,0.22511357
0.81,a,0.85293174,0.3565279,0.8469192,0.5072198
0.8200000000000001,a,0.5148856,0.2635484,0.9473659,0.8348972
0.8300000000000001,a,0.18795036,0.15710624,0.97892034,0.935023
0.84,a,0.085702,0.090461895,0.9902452,0.9686141
0.85,a,0.037318554,0.06674705,0.994684,0.9831359
0.86,a,0.015197217,0.05495271,0.9964714,0.98951834
0.87,a,0.0049323603,0.043780044,0.99722743,0.99106145
0.88,a,0.0017933709,0.032161713,0.9958775,0.9895103
0.89,a,0.0015180613,0.018861292,0.99070907,0.978063
0.9,a,0.013657447,0.022622954,0.982171,0.92092925
0.91,a,0.19774705,0.029109454,0.9727899,0.8664162
0.92,a,0.45992574,0.039547894,0.9561407,0.8020581
0.93,a,0.7446194,0.054224543,0.9321821,0.7319598
0.9400000000000001,k,0.8697428,0.05099571,0.9184887,0.69282484
0.9500000000000001,k,0.9364292,0.04874938,0.87298477,0.5772474
0.96,k,0.9796852,0.060175445,0.7001586,0.35491556
0.97,t,0.9954295,0.08648838,0.38882488,0.115078725
0.98,t,0.9987675,0.066777155,0.13391744,0.020601522
0.99,t,0.9989003,0.07430059,0.05636493,0.0090017095
1.0,t,0.9965362,0.06607289,0.13346772,0.027350416
1.01,t,0.98221666,0.05414099,0.627334,0.18923019
1.02,a,0.89048296,0.057098877,0.950966,0.6282875
