filename,target_accuracy,non_target_accuracy,vowel_accuracy
SL00304_pataka_mono_16kHz.csv,0.534814344435088,0.127417998500239,0.632211439339014
8_SL00283_Pataka_mono_16kHz.csv,0.495468863361653,0.113840081802645,0.605936782412406
SL00412_pataka_mono_16kHz.csv,0.54747985434848,0.108594289679359,0.652244301230196
SL00334_pataka_mono_16kHz.csv,0.544855677935585,0.114137680541898,0.604373708711078
SL00340_pataka_mono_16kHz.csv,0.451907212605628,0.186247002167619,0.693849655855844
CS0042_pataka_mono_16kHz.csv,0.590478682465908,0.103766571489679,0.539344422614601
SL00330_pataka_mono_16kHz.csv,0.53730766079444,0.116993346989076,0.582601706912373
SL00326_pataka_mono_16kHz.csv,0.638448725873557,0.0797162281525636,0.57059478393807
SL00332_pataka_mono_16kHz.csv,0.322304100248433,0.209406046741527,0.587298847420532
CS0036_pataka_mono_16kHz.csv,0.544652090792212,0.150993746760619,0.465554483218584
CS0039_pataka_mono_16kHz.csv,0.510770000670608,0.164428296074079,0.559032511936504
SL00326_pataka_mono_16kHz_loudnorm.csv,0.61003788943163,0.075100629023662,0.627006521045714
SL00401_pataka_mono_16kHz.csv,0.577794875754744,0.105996190183059,0.658819959503163
SL00428_pataka_mono_16kHz.csv,0.566437262664181,0.107296890729794,0.5393350004684
SL00310_pataka_mono_16kHz.csv,0.491931417077336,0.139616885416501,0.532697631730318
CS0044_pataka_mono_16kHz.csv,0.509673130000258,0.116999269209535,0.511124812780987
SL00298_pataka_mono_16kHz.csv,0.505821337917862,0.0619842006726682,0.571037745666667
CS0041_pataka_mono_16kHz.csv,0.543919385470819,0.0674796607822028,0.4347845992272
CS0038_pataka_mono_16kHz.csv,0.524075587463214,0.0944041899889774,0.498244519730544
SL00341_pataka_mono_16kHz.csv,0.40497001744916,0.108969153368399,0.662803225574541
SL00343_pataka_mono_16kHz.csv,0.485987921723816,0.0775531114655439,0.428412490867531
SL00404_pataka_mono_16kHz.csv,0.605561797133109,0.0625988902338198,0.549233518944099
SL00403_pataka_mono_16kHz.csv,0.466470289220705,0.147273610986345,0.301505903593307
SL00328_pataka_mono_16kHz.csv,0.540236021983067,0.11749073637263,0.522328820824707
SL00339_pataka_mono_16kHz.csv,0.515575138035448,0.13326658569936,0.37315266438822
MEAN,0.522679171394278,0.115662851721272,0.548141202317384
SD,0.0664632293209694,0.0369065090423723,0.0938747914755398
