time,phoneme,target_plosives,non_target_plosives,target_vowels,vocalic
0.0,<p:>,0.36813253,0.08283236,0.30370802,0.32779637
0.01,<p:>,0.37197214,0.057529308,0.27291453,0.31227058
0.02,<p:>,0.37677187,0.0638338,0.30686805,0.3397909
0.03,<p:>,0.3597603,0.07278656,0.35422,0.39055088
0.04,<p:>,0.35684887,0.072764836,0.35729554,0.36116868
0.05,<p:>,0.34150362,0.087197326,0.3983683,0.36092737
0.06,<p:>,0.3174951,0.09498145,0.4717685,0.40215868
0.07,<p:>,0.3302519,0.09814638,0.4903781,0.4254506
0.08,<p:>,0.33623835,0.11838444,0.49857038,0.41244322
0.09,<p:>,0.32651338,0.1301423,0.49868304,0.39262065
0.1,<p:>,0.3212704,0.13727139,0.5463463,0.4133855
0.11,<p:>,0.31167218,0.18948095,0.54097366,0.35747063
0.12,<p:>,0.3031427,0.2541843,0.4942649,0.29621315
0.13,<p:>,0.33305013,0.26186174,0.48361173,0.30138648
0.14,<p:>,0.39285782,0.24920276,0.48649415,0.32418212
0.15,<p:>,0.40068,0.25491244,0.4930769,0.3378588
0.16,<p:>,0.44552308,0.24992733,0.47591183,0.34278816
0.17,<p:>,0.45678097,0.23502105,0.476894,0.37774906
0.18,<p:>,0.53051496,0.20856152,0.47787616,0.39587295
0.19,<p:>,0.5944174,0.18221438,0.41849765,0.36698744
0.2,<p:>,0.5733181,0.19069009,0.5031162,0.43283373
0.21,<p:>,0.5901751,0.22375926,0.52005416,0.44875306
0.22,<p:>,0.6293252,0.2607571,0.5133296,0.4280408
0.23,l,0.66285855,0.31482887,0.5195276,0.39844358
0.24,l,0.5511022,0.33191517,0.7091694,0.5175146
0.25,rr,0.47292885,0.29054376,0.78986263,0.6246792
0.26,rr,0.46286836,0.26695585,0.80490047,0.66198283
0.27,rr,0.47296304,0.3134657,0.78106296,0.64757055
0.28,rr,0.42675707,0.38881728,0.7449501,0.589375
0.29,rr,0.3728884,0.45578253,0.6847424,0.5361622
0.3,rr,0.31370535,0.43922058,0.6660744,0.52506113
0.31,rr,0.31671113,0.41204658,0.63436526,0.4894625
0.32,rr,0.35513684,0.42608297,0.5848292,0.4288792
0.33,rr,0.30278483,0.43191501,0.5303691,0.36661547
0.34,rr,0.26825756,0.4469804,0.44511193,0.3100135
0.35000000000000003,rr,0.28032333,0.4548174,0.4216949,0.31534243
0.36,rr,0.28909838,0.472984,0.43560073,0.35932285
0.37,rr,0.2944065,0.48908693,0.42990652,0.41027814
0.38,rr,0.27351463,0.4915878,0.3843834,0.4506046
0.39,rr,0.29624885,0.387517,0.2863589,0.40797678
0.4,r,0.4065498,0.28344622,0.3317197,0.60424584
0.41000000000000003,r,0.44414392,0.23505688,0.36548513,0.6241895
0.42,r,0.47456092,0.19312742,0.43324965,0.619089
0.43,r,0.47270164,0.1799389,0.5412358,0.6530742
0.44,<p:>,0.45806503,0.17240685,0.59025306,0.64713454
0.45,<p:>,0.44090688,0.18824618,0.5950369,0.59168494
0.46,l,0.42070794,0.17670529,0.6426545,0.60385936
0.47000000000000003,l,0.43793762,0.14868951,0.6642749,0.6154388
0.48,<p:>,0.45455903,0.12800418,0.6679371,0.6375086
0.49,<p:>,0.45301506,0.116397336,0.6538448,0.6408683
0.5,<p:>,0.4410948,0.10543617,0.6623477,0.65443593
0.51,<p:>,0.41059038,0.09884564,0.64258045,0.63706666
0.52,<p:>,0.39864844,0.103502065,0.66356343,0.6277192
0.53,<p:>,0.3892626,0.11251827,0.6767216,0.623774
0.54,<p:>,0.37616372,0.11765811,0.65244377,0.5717527
0.55,<p:>,0.37694886,0.13070035,0.64800614,0.5492582
0.56,<p:>,0.37015852,0.12442517,0.67979604,0.57814527
0.5700000000000001,<p:>,0.35587144,0.110313036,0.70812196,0.6180697
0.58,<p:>,0.34302047,0.103596814,0.72023576,0.64000463
0.59,<p:>,0.338213,0.13014202,0.71124226,0.61480206
0.6,<p:>,0.3446791,0.14999145,0.7182898,0.59981096
0.61,<p:>,0.3370901,0.15998206,0.69008917,0.5624859
0.62,<p:>,0.33844918,0.16603303,0.6675382,0.5343603
0.63,<p:>,0.33554077,0.17014763,0.63041604,0.5156502
0.64,<p:>,0.354042,0.17687,0.6410867,0.5369572
0.65,<p:>,0.3493682,0.17311811,0.61822015,0.5396697
0.66,<p:>,0.34956604,0.17166243,0.638469,0.56386185
0.67,<p:>,0.35415268,0.16629039,0.6745754,0.5988571
0.68,<p:>,0.32631063,0.17138326,0.6905223,0.6023278
0.6900000000000001,<p:>,0.29147592,0.18696539,0.65899146,0.54566324
0.7000000000000001,l,0.23317593,0.27358484,0.63771677,0.43514615
0.71,l,0.1682324,0.31852373,0.5380567,0.34823477
0.72,l,0.15932211,0.35830483,0.4732418,0.3156305
0.73,l,0.21113828,0.40225765,0.45371592,0.31945115
0.74,l,0.23526719,0.40283778,0.46226987,0.34400487
0.75,l,0.24178237,0.40704566,0.4872817,0.371044
0.76,l,0.25076696,0.40022048,0.471947,0.3760654
0.77,l,0.24770543,0.40528005,0.46826506,0.36513436
0.78,l,0.23549443,0.44764918,0.38286972,0.33001018
0.79,l,0.21853505,0.37670493,0.30042765,0.31685522
0.8,<p:>,0.42344168,0.3057607,0.53636473,0.39901608
0.81,<p:>,0.483549,0.27382934,0.5148046,0.4811769
0.8200000000000001,<p:>,0.47022006,0.28093103,0.51514286,0.46665916
0.8300000000000001,l,0.39400253,0.27546144,0.5488627,0.45019883
0.84,l,0.3119968,0.2635849,0.5600655,0.4391972
0.85,l,0.3162522,0.24417615,0.6115571,0.46797788
0.86,<p:>,0.3526688,0.21171294,0.67000973,0.5220056
0.87,<p:>,0.35834017,0.19824168,0.68357605,0.5353856
0.88,<p:>,0.31037655,0.22694238,0.66237646,0.47771356
0.89,l,0.2862043,0.24029729,0.6505282,0.44534633
0.9,l,0.2905569,0.24210595,0.64094245,0.44300994
0.91,l,0.34361753,0.22220825,0.63093406,0.47576237
0.92,l,0.36103922,0.18621927,0.64854336,0.5242008
0.93,<p:>,0.37086228,0.16267467,0.66464037,0.5603012
0.9400000000000001,<p:>,0.34950697,0.16831693,0.63850623,0.5239094
0.9500000000000001,<p:>,0.32970172,0.17230566,0.59774816,0.47415912
0.96,<p:>,0.30503786,0.16464537,0.6131484,0.4820129
0.97,<p:>,0.28270638,0.1486505,0.6431815,0.525864
0.98,<p:>,0.26281407,0.1405291,0.6214743,0.50396013
0.99,<p:>,0.23713346,0.14903602,0.6218629,0.44973388
1.0,l,0.21938317,0.15365607,0.6115517,0.42683065
1.01,l,0.22978964,0.15244794,0.6141786,0.44420975
1.02,l,0.24917957,0.15926549,0.5953033,0.45234025
1.03,l,0.26786613,0.16244356,0.5745895,0.44731185
1.04,l,0.26967007,0.16105643,0.62754583,0.49382305
1.05,l,0.27314323,0.16779028,0.6551455,0.5105313
1.06,l,0.27783757,0.17786884,0.63655066,0.50576663
1.07,l,0.30366832,0.1809197,0.66433686,0.5441576
1.08,<p:>,0.3188176,0.17670596,0.6668994,0.576499
1.09,<p:>,0.316608,0.18514284,0.6837028,0.5699278
1.1,l,0.31197503,0.19577633,0.67985934,0.53787607
1.11,l,0.291426,0.19063863,0.66080564,0.49292615
1.12,l,0.27372846,0.18522328,0.6230605,0.45033455
1.1300000000000001,l,0.2710162,0.1885543,0.61453646,0.44507167
1.1400000000000001,l,0.28189507,0.17353083,0.63248044,0.47200274
1.1500000000000001,l,0.30454093,0.1730081,0.5971029,0.4626061
1.16,<p:>,0.334162,0.17693521,0.5548661,0.44074574
1.17,<p:>,0.339518,0.19066566,0.5218991,0.4150221
1.18,<p:>,0.33860773,0.21217902,0.49910167,0.39990348
1.19,<p:>,0.3371132,0.24793223,0.47616667,0.3925829
1.2,<p:>,0.2808759,0.095676385,0.4788913,0.4796539
1.21,<p:>,0.3155554,0.082395874,0.48161596,0.46033698
1.22,<p:>,0.27638197,0.0697405,0.48918948,0.48253575
1.23,<p:>,0.2520176,0.074018955,0.5444827,0.5448704
1.24,<p:>,0.22676218,0.07224892,0.53268445,0.5393916
1.25,<p:>,0.22800829,0.08169603,0.56228477,0.5549342
1.26,<p:>,0.21480818,0.07798557,0.56285715,0.54214644
1.27,<p:>,0.20233665,0.07415238,0.59908915,0.5555004
1.28,<p:>,0.19490686,0.08016037,0.59502035,0.5340178
1.29,<p:>,0.19247837,0.08804683,0.5894348,0.50969344
1.3,<p:>,0.21188338,0.09950202,0.60022074,0.5159754
1.31,<p:>,0.2127531,0.08831747,0.57009906,0.50267583
1.32,<p:>,0.22357456,0.0792658,0.6162339,0.55731755
1.33,<p:>,0.2155376,0.06627287,0.63871926,0.59021413
1.34,<p:>,0.21284841,0.06363298,0.6715376,0.6089849
1.35,<p:>,0.20801423,0.061577518,0.68166476,0.61162144
1.36,<p:>,0.20763002,0.06895278,0.68656325,0.61708087
1.37,<p:>,0.19397524,0.06308663,0.66648024,0.6091745
1.3800000000000001,<p:>,0.18653187,0.06406875,0.6012018,0.55320364
1.3900000000000001,<p:>,0.20229076,0.069399826,0.59761566,0.54107624
1.4000000000000001,<p:>,0.1950281,0.06167854,0.58608013,0.52358115
1.41,<p:>,0.21434468,0.07160279,0.61451864,0.54121757
1.42,<p:>,0.2417454,0.08716176,0.61076355,0.5261381
1.43,<p:>,0.2678684,0.10153406,0.6442973,0.54941434
1.44,<p:>,0.27657568,0.1015444,0.6728501,0.58242714
1.45,<p:>,0.26154482,0.09699162,0.6406258,0.56249875
1.46,<p:>,0.27058795,0.10594265,0.63740844,0.55400556
1.47,<p:>,0.27435157,0.114633456,0.6083803,0.52878547
1.48,<p:>,0.27913976,0.12277635,0.61088485,0.5342161
1.49,<p:>,0.27038527,0.11352209,0.60990757,0.55402905
1.5,<p:>,0.26387614,0.09926718,0.6346168,0.5728832
1.51,<p:>,0.27451453,0.097490765,0.6655726,0.5842485
1.52,<p:>,0.28380919,0.10256515,0.6353958,0.54685754
1.53,<p:>,0.30081034,0.12200369,0.6603494,0.5720405
1.54,<p:>,0.32190564,0.13709459,0.66220474,0.5692409
1.55,<p:>,0.32824236,0.14188808,0.6407148,0.545208
1.56,<p:>,0.3349634,0.14721331,0.6419529,0.55215
1.57,<p:>,0.3320048,0.13953486,0.64154506,0.54899085
1.58,<p:>,0.34956512,0.14927796,0.6260907,0.5153096
1.59,<p:>,0.36862698,0.16863027,0.541902,0.51177263
1.6,<p:>,0.30152673,0.09234035,0.57060045,0.50823563
1.61,<p:>,0.31181708,0.06515821,0.54433167,0.51582444
1.62,<p:>,0.2849719,0.062490717,0.5490385,0.5234132
1.6300000000000001,<p:>,0.24725229,0.05484801,0.5553207,0.5678295
1.6400000000000001,<p:>,0.22617137,0.045013115,0.539274,0.54623234
1.6500000000000001,<p:>,0.2246081,0.042149942,0.5429032,0.53540206
1.6600000000000001,<p:>,0.22290532,0.040716562,0.5728189,0.5303455
1.67,<p:>,0.23431268,0.04613039,0.5475145,0.50442034
1.68,<p:>,0.23726258,0.05088008,0.53745204,0.50590557
1.69,<p:>,0.23567533,0.05296133,0.56264526,0.53904665
1.7,<p:>,0.22184965,0.042057842,0.5834676,0.5491801
1.71,<p:>,0.21932112,0.038408138,0.5827006,0.5306886
1.72,<p:>,0.20600314,0.037610702,0.5153614,0.45551875
1.73,<p:>,0.20964421,0.04352933,0.51442313,0.4494896
1.74,<p:>,0.20531826,0.042673957,0.5134849,0.48477352
1.75,<p:>,0.19930887,0.036348704,0.55544835,0.45074683
1.76,<p:>,0.17632478,0.02893326,0.45817894,0.41672012
1.77,<p:>,0.1805992,0.029023843,0.43809944,0.37005827
1.78,<p:>,0.18363088,0.030726362,0.422435,0.3450053
1.79,<p:>,0.18297888,0.031014327,0.4418741,0.3459158
1.8,<p:>,0.1964501,0.03807803,0.4579897,0.34503183
1.81,<p:>,0.21240452,0.044834252,0.49158683,0.3649465
1.82,<p:>,0.22134472,0.04383459,0.48845765,0.3676019
1.83,<p:>,0.2351234,0.047885615,0.46233052,0.3395696
1.84,<p:>,0.2584959,0.05548647,0.4733669,0.33981827
1.85,<p:>,0.2759837,0.06615808,0.4741617,0.33278456
1.86,<p:>,0.31410486,0.09163261,0.49951625,0.35305527
1.87,<p:>,0.3567389,0.116087876,0.47921792,0.3477429
1.8800000000000001,<p:>,0.36167294,0.14136872,0.6058403,0.43109787
1.8900000000000001,<p:>,0.34604207,0.14019762,0.60903245,0.4384542
1.9000000000000001,<p:>,0.31168061,0.13083051,0.56494856,0.3934022
1.9100000000000001,<p:>,0.27542052,0.121622205,0.5184012,0.3663966
1.92,<p:>,0.29024163,0.11720513,0.43223116,0.29315194
1.93,<p:>,0.2972362,0.14412269,0.43443426,0.2842626
1.94,<p:>,0.29986128,0.17310026,0.4484949,0.30316058
1.95,<p:>,0.29520842,0.18503962,0.45130092,0.32413712
1.96,<p:>,0.29440957,0.20230545,0.4442033,0.3271697
1.97,<p:>,0.29588795,0.21094078,0.36984143,0.28625965
1.98,<p:>,0.3109415,0.2410777,0.28187495,0.25810784
